LEVEL,PLAIN_QUESTION_ZH,STATUS,EVIDENCE,QUESTION_ID,PLAIN_CONCLUSION_ZH
LEVEL_1,policy and input identity,COMPLETED,qa_summary.csv; source_manifest.csv,Q01,问题“policy and input identity”状态为 COMPLETED；数值与口径见 qa_summary.csv; source_manifest.csv。
LEVEL_1,common ordered path bank,COMPLETED,qa_summary.csv; source_manifest.csv,Q02,问题“common ordered path bank”状态为 COMPLETED；数值与口径见 qa_summary.csv; source_manifest.csv。
LEVEL_1,path termination ledger and active-period serialization,COMPLETED,termination_ledger.csv; raw_active_period_audit.csv,Q03,问题“path termination ledger and active-period serialization”状态为 COMPLETED；数值与口径见 termination_ledger.csv; raw_active_period_audit.csv。
LEVEL_1,readonly policy and numerical validity,COMPLETED,qa_summary.csv; oos_metadata.csv,Q04,问题“readonly policy and numerical validity”状态为 COMPLETED；数值与口径见 qa_summary.csv; oos_metadata.csv。
LEVEL_1,paired statistical uncertainty,COMPLETED_NORMAL_APPROX,paired_kpi_with_ci.csv; paired_binary_outcome_with_ci.csv,Q05,问题“paired statistical uncertainty”状态为 COMPLETED_NORMAL_APPROX；数值与口径见 paired_kpi_with_ci.csv; paired_binary_outcome_with_ci.csv。
LEVEL_2,zero/low/medium/high target performance,COMPLETED,target_group_performance.csv,Q06,问题“zero/low/medium/high target performance”状态为 COMPLETED；数值与口径见 target_group_performance.csv。
LEVEL_2,low-target overproduction and surplus,COMPLETED_DESCRIPTIVE,target_group_performance.csv; paired_kpi_with_ci.csv,Q07,问题“low-target overproduction and surplus”状态为 COMPLETED_DESCRIPTIVE；数值与口径见 target_group_performance.csv; paired_kpi_with_ci.csv。
LEVEL_2,high-target adequacy and shortfall,COMPLETED,target_group_performance.csv,Q08,问题“high-target adequacy and shortfall”状态为 COMPLETED；数值与口径见 target_group_performance.csv。
LEVEL_2,shortfall incidence and mass-weighted service,COMPLETED,terminal_classification_summary.csv; mass_weighted_service_summary.csv,Q09,问题“shortfall incidence and mass-weighted service”状态为 COMPLETED；数值与口径见 terminal_classification_summary.csv; mass_weighted_service_summary.csv。
LEVEL_2,path service distribution and severity,COMPLETED,path_service_distribution_detail.csv; service_severity_band_summary.csv,Q10,问题“path service distribution and severity”状态为 COMPLETED；数值与口径见 path_service_distribution_detail.csv; service_severity_band_summary.csv。
LEVEL_2,quantity/location/mixed decomposition,COMPLETED,terminal_classification_summary.csv; mass_weighted_service_summary.csv,Q11,问题“quantity/location/mixed decomposition”状态为 COMPLETED；数值与口径见 terminal_classification_summary.csv; mass_weighted_service_summary.csv。
LEVEL_2,path migration,COMPLETED,path_transition_detail.csv; terminal_type_transition.csv,Q12,问题“path migration”状态为 COMPLETED；数值与口径见 path_transition_detail.csv; terminal_type_transition.csv。
LEVEL_2,time formation and wait-and-see,COMPLETED_DESCRIPTIVE,hourly_site_mechanism_summary.csv; hourly_site_paired_delta.csv,Q13,问题“time formation and wait-and-see”状态为 COMPLETED_DESCRIPTIVE；数值与口径见 hourly_site_mechanism_summary.csv; hourly_site_paired_delta.csv。
LEVEL_3,optimistic physical recoverability,COMPLETED_UPPER_BOUND,optimistic_physical_recoverability_summary.csv,Q14,问题“optimistic physical recoverability”状态为 COMPLETED_UPPER_BOUND；数值与口径见 optimistic_physical_recoverability_summary.csv。
LEVEL_3,"Pmax, voltage, line, tank and HTT mechanisms",COMPLETED_DESCRIPTIVE,paired_mechanism_summary.csv; hourly_system_mechanism_summary.csv; htt_od_summary.csv,Q15,"问题“Pmax, voltage, line, tank and HTT mechanisms”状态为 COMPLETED_DESCRIPTIVE；数值与口径见 paired_mechanism_summary.csv; hourly_system_mechanism_summary.csv; htt_od_summary.csv。"
LEVEL_3,substation capacity/headroom,NOT_IDENTIFIABLE,Raw stores import but not per-path frozen capacity/headroom,Q16,问题“substation capacity/headroom”状态为 NOT_IDENTIFIABLE；数值与口径见 Raw stores import but not per-path frozen capacity/headroom。
LEVEL_3,ordinary demand and new side effects,COMPLETED_DESCRIPTIVE,paired_mechanism_summary.csv; historical_issue_status.csv,Q17,问题“ordinary demand and new side effects”状态为 COMPLETED_DESCRIPTIVE；数值与口径见 paired_mechanism_summary.csv; historical_issue_status.csv。
LEVEL_3,Base-frozen tail groups,COMPLETED_RETROSPECTIVE,base_frozen_tail_assignment.csv; base_frozen_tail_summary.csv,Q18,问题“Base-frozen tail groups”状态为 COMPLETED_RETROSPECTIVE；数值与口径见 base_frozen_tail_assignment.csv; base_frozen_tail_summary.csv。
LEVEL_3,economics and cost components,COMPLETED,paired_kpi_with_ci.csv; paired_mechanism_summary.csv,Q19,问题“economics and cost components”状态为 COMPLETED；数值与口径见 paired_kpi_with_ci.csv; paired_mechanism_summary.csv。
LEVEL_3,historical issue status and evidence boundaries,COMPLETED,historical_issue_status.csv,Q20,问题“historical issue status and evidence boundaries”状态为 COMPLETED；数值与口径见 historical_issue_status.csv。
LEVEL_3,single-mechanism causal attribution,NOT_IDENTIFIABLE,No independent constraint-relaxation counterfactual in this task,Q21,问题“single-mechanism causal attribution”状态为 NOT_IDENTIFIABLE；数值与口径见 No independent constraint-relaxation counterfactual in this task。
LEVEL_4,"fresh holdout, sensitivity, perfect-information benchmark",DEFERRED,Mode C scope,Q22,"问题“fresh holdout, sensitivity, perfect-information benchmark”状态为 DEFERRED；数值与口径见 Mode C scope。"
