mechanism,status,fields_needed,missing_fields_or_limit,what_is_excluded_or_identified,needs_new_oos,minimum_next_analysis
physical_recoverability,NOT_IDENTIFIABLE,"Need optimistic future-action feasibility/counterfactual dispatch, remaining Pmax, tank headroom, grid and HTT feasibility from each pre-terminal state.",Saved trajectories contain realized actions and terminal outcomes but no max-action recourse LP or remaining feasible-set certificate.,Can identify observed failure timing and realized terminal gaps; cannot prove recoverable/unrecoverable.,Yes for formal counterfactual recoverability; no for this run.,Minimum: solve an isolated optimistic terminal feasibility LP from saved states; no policy retraining required.
Pmax_utilization,COMPLETED,"hour_site has P_EL_kW, electrolyzer_capacity_binding; Pmax identity is fixed by arm metadata.","No missing field for observed utilization; this is descriptive, not causal.",Observed utilization and binding frequency are identifiable.,No,Report observed utilization; capacity-relaxation counterfactual remains separate.
voltage_line_constraints,COMPLETED,"hour_system has min_voltage_pu, max_line_loading_pct, binding flag.",No substation-specific field in saved hour_system.,Voltage and line loading signals are observable; no causal isolation.,No for descriptive audit; yes for causal attribution.,Compare binding-hour distributions by transition group; no rerun needed.
substation_constraint,NOT_IDENTIFIABLE,"Need substation apparent-power limit, loading and binding flag by hour/path.",hour_system has root_grid_import but no explicit substation capacity/loading/binding field.,Cannot infer substation non-binding from root import alone.,Yes for causal identification if instrumented OOS is rerun.,Minimum no-rerun check is root_grid_import distribution; it cannot identify substation bottleneck.
tank_capacity_headroom,PARTIALLY_COMPLETED,hour_site has end_inventory_kg and storage_capacity_binding.,No explicit tank capacity/headroom field in hourly output.,Binding flag and observed inventory are available; exact headroom/counterfactual is not.,No for descriptive; yes for causal tank attribution.,Derive conservative observed margin only from documented tank capacities; no new OOS required.
HTT_total_OD_timing,COMPLETED,"htt file has origin_site,destination_site,global_hour,flow_kg, source/destination inventories and shortages.",No counterfactual travel-time or direction relaxation.,"Observed transfer quantity, OD, timing and ex-post alignment are identifiable.",No for descriptive; yes for causal direction/timing attribution.,Use OD/hour alignment table; already included in closeout outputs.
site_spatial_configuration,PARTIALLY_COMPLETED,"site-level production, inventory, target and surplus fields exist.",No terminal redistribution and no counterfactual site relocation/allocation optimization.,Spatial mismatch and surplus-rich/deficit-poor coexistence are identifiable.,Yes for causal redesign effect.,Use site-wise surplus-gap correlation and transition cohorts; no rerun required.
ordinary_shortage,COMPLETED,path and hour_site contain ordinary_shortage_total/ordinary_shortage_kg.,No causal decomposition against alternative dispatch.,Observed ordinary shortage and paired change are identifiable.,No for descriptive; yes for causal policy decomposition.,Report paired means and tail groups.
policy_stability,COMPLETED,B0001 acceptance evidence explicitly records UNSTABLE/FAIL.,No converged policy or fresh stable checkpoint.,Training instability is confirmed and must discount all candidate mechanisms.,Yes for final adoption evidence.,Retrain B0001; prohibited in this run.
DIRECT_GAP_no_terminal_distribution,COMPLETED,active evaluator and run-007 control card; no terminal OD shipment fields or terminal recourse output.,No terminal redistribution mechanism is present by design.,"Terminal gap is direct site-wise max(T-I,0), with no station-to-station delivery.",No,No additional analysis required.
