figure,title,sample,source_csv,bytes,sha256
01_10000条路线最终去向.png,10000条台风路线最后去了哪里,10000条路径,01_path_accounting/path_termination_full_accounting.csv,66928,54377396bd365a804e08831bf434fc2847d4b4a536f37165bbc4f2b808edbdf8
02_Stage7零目标与正目标.png,Stage7零目标与正目标,6124条Stage7路径,02_stage7_adequate_surplus/stage7_zero_vs_positive_target.csv,70836,ae718e463b1669d4951ea2413a8a96be6037486c59b297b129e09574db17c56d
03_达标路线多存多少.png,已经达到最终储备目标的路线，通常多存了多少氢,650条正目标达标路径,02_stage7_adequate_surplus/stage7_surplus_absolute_bins.csv,64214,c270a2410516662cd11ad7df0cad5cc80dbad714dcd62fede926d159f29706c1
04_四站达标后超额库存.png,达到目标以后，四个站分别还多存了多少氢,650条正目标达标路径,02_stage7_adequate_surplus/stage7_site_surplus_summary.csv,54247,360b1dbc29a7000bd106e30ff15501a48d2f93e454efa895d0f7bfb505d88b05
05_35状态不足率.png,哪些最终台风状态最容易库存不足,6124条Stage7路径，格内标样本数,03_terminal_state_35/stage7_by_terminal_state_35.csv#positive_gap_probability,102641,4f3db932f6fa3ec04407bebe93f3ebffc0dcd9c1247e6e85013712a74be0585f
06_35状态不足严重程度.png,库存不足时，哪些状态平均缺得最多,6124条Stage7路径，格内标样本数,03_terminal_state_35/stage7_by_terminal_state_35.csv#gap_if_positive_kg,93508,53965e5c995efb3686d5acf5b26c31f22f7078ab233256fb55b51043402cb18d
07_35状态达标后超额.png,哪些状态达到目标后仍然多存很多氢,6124条Stage7路径，格内标样本数,03_terminal_state_35/stage7_by_terminal_state_35.csv#adequate_surplus_mean_kg,106491,22e7d00c3725d7e619b43c1e071fd0fc423929cb11b9b3265ddb3b59dc294920
08_到达时间乘最终强度.png,风险确认时间与最终强度的联合影响,6124条Stage7路径,04_arrival_timing/stage7_arrival_by_intensity.csv,117525,7fe72d78f1a6088b1b163f02b2aecd7f798086a9ac32d3075362ad1875055c8a
09_不足发生站点.png,最终库存不足通常发生在哪个站,473条最终库存不足路径,05_shortfall_sites/stage7_shortfall_by_site.csv,67400,ad6f62caf71e2b22d72d7b9ed6f5f18922a51cc3d4f672de51d6ef1085d2f7c6
10_三类不足原因.png,三类最终库存不足路径,473条最终库存不足路径,05_shortfall_sites/stage7_shortfall_mechanism_groups.csv,95530,f3c014001e986860f38b29d7efd432865bc25cf315dc620d87289ba94121b3c7
11_位置问题形成时间线.png,最终位置不合适的路线，四个站从什么时候开始出现库存偏差,355条纯位置或混合不足路径,06_spatial_htt/spatial_mismatch_timeline.csv,131739,188939ca1503409fb6ddabf61b5fb9f94e0acfb3921c90b7fe1415cba054ce58
12_HTT是否搬向缺口站.png,HTT是否真正从有余量站搬向缺口站,按保存的正HTT流量统计,06_spatial_htt/htt_helpfulness_summary.csv,76914,2c2bb094ae579ad2d2b184ac62a725ee0ec968dcc3ecd2050a216ec1f2070d67
13_不足路径四站电解槽负荷.png,不足路径最后16小时四站电解槽负荷,473条不足路径的最后16小时,07_catchup_limits/electrolyzer_binding_by_site.csv,68322,3bdd5322f730545761250c3973b16fb6f93dfa18f2a83d70625ec9a9243dcd1b
14_普通缺氢与最终储备.png,普通缺氢与最终储备的交叉结果,6124条Stage7路径,08_ordinary_shortage/ordinary_vs_terminal_tradeoff.csv,60118,a6984e74b4e9287d2be77c96a36bafa2a201a4b6795ddb16df865c07686402fa
15_消散路径预防库存.png,不同时间消散的路线留下多少预防性库存,3497条物理消散路径,09_dissipation/dissipation_detailed_summary.csv,62019,a35386644073f2ca20d30c3f500d42f1226013b9729613ab0e61d3458f3deaea
16_风险尾部完整比较.png,95%/4%/1%最终缺口与贡献,6124条Stage7路径,10_tail/stage7_tail_full_profile.csv,71296,f1c82b9cd65dc35e30b6131f719434a9264bbe7272879ab6ca7d4f6c102bbdb2
17_三条代表性路线.png,三条代表性路线：正常达标、明显超额、最严重不足,机械规则选择的3条路径,11_cases/case_path_selection.csv,214385,3fa34ebebdd75fe4adcd15173c9ec973f8908e8b4eb5b2df89fd3f6a07f75475
18_成本分布与最终结果.png,实际运行成本及其与最终储备的关系,10000条成本路径；6124条Stage7路径,12_economics/economics_overall_distribution.csv;cost_vs_terminal_outcome.csv,114871,87322183455f384f7d616be84cf8b1a121d06daaeef43c9db5d6e333240615d3
19_训练深度稳定性.png,训练接近5小时时，第一阶段制氢量是否趋于稳定,346次训练迭代,13_training_depth/training_depth_diagnosis.csv,87234,73e2e1aca5bef68119a0965718dce90d94fd8e090a23c1ce76f8b64e9fdfc50e
