result_directory,task_step,accepted_run,evidence_file,purpose,classification,current_status_note
53-35state-saa-vs-eta003-terminal-loh,Step-04C-C6,run-024,run-024/README.md;run-024/eta003_candidate_judgment.txt,Produce the formal 35-state SAA and eta=0.03 TerminalLOH lookup tables,current_main_result,Source of both TerminalLOH tables used by Step-05A1 and Step-05B
54-main-msp-native-baseline-audit,Step-05A0,NONE,run-001.failed-001/README.md;run-001.failed-001/step05a0_judgment.txt,Identify native entry and stop because the historical output path could not safely be replayed,retained_failed_gate,Preserved failed audit; superseded operationally by the authorized safe smoke in stage55
55-main-msp-native-smoke,Step-05A0B,run-001,run-001/README.md;run-001/step05a0b_judgment.txt,Validate isolated native forward-backward-cut-eval execution with legacy TerminalLOH,infrastructure_smoke,Accepted safe replay foundation; not a policy-comparison result
56-main-msp-dual-terminal-loh-smoke,Step-05A1,run-001,run-001/README.md;run-001/step05a1_judgment.txt,Validate both 35x4 tables map to lf=7 and propagate through terminal value backward cuts and later forward passes,integration_smoke,Accepted table-interface and cut-propagation evidence; not a superiority result
57-main-msp-converged-terminal-loh-ab,Step-05B,run-003,run-003/README.md;run-003/fixed_budget_training_summary.csv,Archive SAA and eta=0.03 FA-MSP policies and common 10000x8 OOS evaluations,current_policy_source,Despite the directory name both policies are one-hour fixed-budget stop_flag=2 and are not formally converged
58-main-msp-terminal-gap-mechanism-audit,Step-05B-1,run-004,run-004/README.md;run-004/step05b1_judgment.txt,Separate 2000-terminal-gap penalty effects from ordinary shortage and operating-cost changes,mechanism_audit,Judgment C mixed mechanism; supplies the mechanically verified 20000-row method-path source used downstream
59-terminal-loh-realization-audit,Step-05B-2,run-001,run-001/README.md;run-001/step05b2_judgment.txt,Measure own-target attainment and strict DRO target-increment realization by state and station,mechanism_audit,Judgment D concentrated low-realization states/sites rather than global interface failure
60-terminal-loh-required-extra-and-flow-audit,Step-05B-3,run-002,run-002/README.md;run-002/step05b3_judgment.txt,Remove SAA-surplus denominator artifact and inspect genuinely required extra inventory and hydrogen flows,mechanism_audit,Most target increment is pre-covered by SAA surplus; residual problems remain concentrated
61-terminal-loh-system-feasibility-audit,Step-05B-4,run-001,run-001/README.md;run-001/step05b4_judgment.txt,Separate system-total hydrogen sufficiency from station allocation and saved-policy realization,mechanism_audit,Electrolyzer is high-utilization; current HTT model shows no separate capacity infeasibility when total hydrogen is sufficient
62-terminal-loh-information-revelation-audit,Step-05B-5,run-002,run-002/README.md;run-002/step05b5_judgment.txt,Distinguish clairvoyant physical feasibility from sequential information and inspect saved cut value signals,mechanism_audit,States12-14 information type; feasible-unmet state19 subset mixed type
63-saa-dro-capacity-gap-and-state19-training-audit,Step-05B-6,run-003,run-003/README.md;run-003/step05b6_judgment.txt,Compare SAA/DRO system-total gaps and audit state19 training-sufficiency evidence,mechanism_audit,SAA gaps pre-exist and DRO amplifies them; state19 training sufficiency remains evidence-insufficient F
64-terminal-loh-all-state-capacity-gap-audit,Step-05B-7,run-002,run-002/README.md;run-002/step05b7_judgment.txt,Extend target-actual-feasible inventory comparison to every reached terminal state,mechanism_audit,6053 common terminal-hit paths and 12106 service-preserving LP rows; raw tables remain local
65-oos-pathwise-saa-dro-performance-audit,Step-05B-8,run-002,run-002/README.md;run-002/step05b8_judgment.txt,Pair all 10000 common OOS paths and compare production HTT inventory shortage and operating cost,current_main_result,Primary pathwise SAA/DRO performance result; corrected C6 state mapping in run-002
66-oos-inventory-gain-distribution-audit,Step-05B-9,run-001,run-001/README.md;run-001/step05b9_judgment.txt,Describe the full 10000-path distribution and exceedance shares of terminal-inventory gain,current_main_result,Primary distribution companion to B8; fixed bins and plots independently verified
