LEVEL,QUESTION_ID,PLAIN_QUESTION_ZH,TECHNICAL_METRIC,STATUS,DENOMINATOR,BASE_VALUE,CANDIDATE_VALUE,ABSOLUTE_CHANGE,RELATIVE_CHANGE,DISTRIBUTION,AFFECTED_SCOPE,PRACTICAL_MATERIALITY,EVIDENCE,PLAIN_CONCLUSION_ZH,LIMITATION,NEXT_ACTION
ENGINEERING_A,B4D-Q01,HTT movement 是否真正复用了 B3 semantics？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；直接调用未修改的 B3 Simulator。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q02,是否出现新的独立 road-physics 分支？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,否；B4D 没有路径权重、闭路或重路由的第二套实现。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q03,两辆 HTT 是否具有独立 state / route / cargo？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-7 已验证。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q04,80 kg capacity 是否在所有 transfer 中机械生效？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-2 的 70+20 kg 请求被原子拒绝。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q05,HTT 是否只能在 H2 station 装/卸？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；站点映射机械确认是 24/14/18/31。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q06,partial unloading 是否 VERIFIED？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-5 从 80 kg 卸 30 kg 后保留 50 kg。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q07,multi-stop 是否 VERIFIED？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-6 在 0.325 h 和 0.55 h 连续服务两站。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q08,共享 station inventory 是否会 double-spend？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,不会；CASE-8 的 130 kg 总请求对 100 kg 库存整批拒绝。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q09,cargo 在 arrival 前是否不可被目标站使用？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-4/10 到达前目标站增量和相关 FC 使用均为 0。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q10,arrival 是否在精确 continuous event time 生效？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-10 为 1.2166666666667 h。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q11,arrival 后 station H2 是否立即进入下一 interval？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；卸载后从同一时间戳开始的新区间使用更新库存。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q12,fixed FC 是否能使用已卸载 H2？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-10 到达后 fixed FC 正出力且产生正 H2 消耗。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q13,HTT 是否始终 P=Q=0？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；全部状态和总账字段均为 0。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q14,HTT 是否从未成为 electrical root/source？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；B4C root/source ledger 中不存在 HTT。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q15,direct-refuel flag 是否严格 false？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
ENGINEERING_A,B4D-Q16,普通 bus 共址时是否仍为零直接转移？,corresponding mandatory B4D QA gate,COMPLETED,14 hand cases / applicable ledger rows,B3/B4C accepted semantics,B4D given-action framework PASS,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,NOT_APPLICABLE_ENGINEERING_SMOKE,CASE-1..CASE-14,NOT_PREDECLARED,fixed_case_tests.csv; QA_closeout.json; forensic ledgers,是；CASE-12 请求 5 kg、实际 0 kg。,Engineering hand cases only; no formal W_OOS or rescue optimization.,Manual ledger review before any later checkpoint decision.
