check,observed,expected,source,pass
raw_hash_oos_path_summary.csv,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,raw bytes,True
raw_hash_oos_stage_summary.csv,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,raw bytes,True
raw_hash_oos_stage_site_summary.csv,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,raw bytes,True
raw_hash_oos_hour_site.csv,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,raw bytes,True
raw_hash_oos_hour_system.csv,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,raw bytes,True
formal_input_hash,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,536b2586...,formal MAT,True
formal_k_h2,0.0195,0.0195,formal MAT,True
formal_base_pmax,"[300, 200, 120, 150]","[300.0, 200.0, 120.0, 150.0]",formal MAT,True
formal_tank_caps,"[300, 200, 100, 150]","[300, 200, 100, 150]",formal MAT,True
base_-16h,70,70,Stage89Q physical baseline,True
base_-8h,156,156,Stage89Q physical baseline,True
base_-4h,167,167,Stage89Q physical baseline,True
physical_recovered_-16h,31,31,Stage89Q physical events,True
physical_recovered_-8h,9,9,Stage89Q physical events,True
physical_recovered_-4h,8,8,Stage89Q physical events,True
physical_event_exact_identity,"{(1666, -16), (801, -16), (3269, -8), (4723, -16), (1580, -4), (6266, -16), (3997, -4), (3381, -8), (2467, -16), (9334, -4), (1320, -16), (2000, -16), (488, -16), (7786, -16), (8332, -16), (6098, -16), (9428, -16), (3951, -8), (9955, -8), (869, -4), (8440, -4), (3349, -16), (4007, -16), (3997, -8), (2103, -16), (1432, -4), (7669, -16), (6663, -16), (4711, -16), (2052, -16), (965, -4), (8440, -8), (869, -8), (783, -8), (2435, -16), (2501, -16), (518, -16), (8747, -16), (1165, -16), (8384, -4), (7862, -16), (467, -16), (643, -16), (152, -16), (1432, -8), (8716, -16), (5685, -16), (9825, -16)}","{(1666, -16), (801, -16), (3269, -8), (4723, -16), (1580, -4), (6266, -16), (3997, -4), (3381, -8), (2467, -16), (9334, -4), (1320, -16), (2000, -16), (488, -16), (3951, -8), (7786, -16), (6098, -16), (869, -4), (8332, -16), (8440, -4), (9428, -16), (9955, -8), (3349, -16), (4007, -16), (3997, -8), (2103, -16), (1432, -4), (7669, -16), (6663, -16), (4711, -16), (965, -4), (2052, -16), (8440, -8), (869, -8), (783, -8), (2435, -16), (2501, -16), (518, -16), (8747, -16), (1165, -16), (8384, -4), (7862, -16), (467, -16), (643, -16), (152, -16), (1432, -8), (8716, -16), (5685, -16), (9825, -16)}",event keys,True
pure_location_zero,0,0,event output,True
grid_prior_rows,704,704,Stage89Q-G critical detail,True
