input_label,path,bytes,sha256,expected_sha256,hash_pass
near_stage_msp_input,C:\Users\chaos\Desktop\biye\test\testH2_v2\data\yuanqi\near_stage_msp_input.mat,8934,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,1
frozen_nominal_DAC,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,188959741,6936a696f5cde137aca483f8c32adee33b52cbd90559a8e6395f3686c0712945,6936a696f5cde137aca483f8c32adee33b52cbd90559a8e6395f3686c0712945,1
frozen_nominal_identity,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input.csv,122068355,366dc3c0b57bfd76aca92f51ae1db82b93c764c87fa15e8cb4dd32388d018168,366dc3c0b57bfd76aca92f51ae1db82b93c764c87fa15e8cb4dd32388d018168,1
frozen_35state_mapping,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3l_exact_atom_aggregation\run-001\exact_equivalence_summary_by_state.csv,6792,adf2dda40666a9e47917cfd660851ba236a6f4127c707699f85896563040bbd2,adf2dda40666a9e47917cfd660851ba236a6f4127c707699f85896563040bbd2,1
formal_period_recovery_code,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\recover_step03Y_prefix_entries_h2.m,24769,28065046748e05d6ef8f1f7a5525b1b268f5d6447fcf7145ec513b7acfaf56ab,28065046748e05d6ef8f1f7a5525b1b268f5d6447fcf7145ec513b7acfaf56ab,1
exact_period_aggregation_code,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\aggregate_exact_period_scenarios_h2.m,4252,03045d397c6dbcc84c14b0ff31667b932b441accf7076cfc0075d4b34168a1de,03045d397c6dbcc84c14b0ff31667b932b441accf7076cfc0075d4b34168a1de,1
C5C_single_thread_solver,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\solve_terminal_loh_flat_chi2_decomposition_c5c_h2.m,8271,e4b61b0ce5eaced49c50078e1781519cab6909e0fe2965be792537b06e6ce67e,e4b61b0ce5eaced49c50078e1781519cab6909e0fe2965be792537b06e6ce67e,1
C5C_state19_reference,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\eta_optimization_results.csv,2955,717e509fbea64bea5904cfe0c03b2d9ca5ba084f07a8952112b80623577ac613,717e509fbea64bea5904cfe0c03b2d9ca5ba084f07a8952112b80623577ac613,1
C6_noJVM_period_recovery_copy,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\recover_step03Y_prefix_entries_c6_nojvm_h2.m,24160,48fb676470dd6fb3465333aad24eab1e5d2bcc66c4f5d6da6770e5ee2be72156,48fb676470dd6fb3465333aad24eab1e5d2bcc66c4f5d6da6770e5ee2be72156,1
C6_noJVM_exact_aggregation_copy,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\aggregate_exact_period_scenarios_c6_nojvm_h2.m,2876,a75b8a64dd3ecc442225af58a2c243ed80666543ac2439b3dff8fb27988b7ff0,a75b8a64dd3ecc442225af58a2c243ed80666543ac2439b3dff8fb27988b7ff0,1
accepted_SAA_core,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\solve_terminal_loh_flat_chi2_core_h2.m,11047,6778b8c85c8c99c06a39a89616e0ba20147fa799b04f18f1183a022ee027e05e,6778b8c85c8c99c06a39a89616e0ba20147fa799b04f18f1183a022ee027e05e,1
accepted_SAA_wrapper,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\solve_terminal_loh_saa_h2.m,320,60b020964f38c0aaa8a32b732107191ad0ce0931a93efb082855e33db78c0fa5,60b020964f38c0aaa8a32b732107191ad0ce0931a93efb082855e33db78c0fa5,1
C6_pure_Python_case_solver,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\run_step04CC6_35state_case.py,42606,7f18983c6211dd6de10ab242fa94627eaded32d4401ba6ec920f809cd3ec2aab,7f18983c6211dd6de10ab242fa94627eaded32d4401ba6ec920f809cd3ec2aab,1
C6_sequential_Python_case_driver,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\run_step04CC6_python_cases.ps1,8491,7d901f6fd46b18f087bdd618d50b9de407217fea56ffc9393c175bae5e121dfd,7d901f6fd46b18f087bdd618d50b9de407217fea56ffc9393c175bae5e121dfd,1
C6_background_controller,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\run_step04CC6_background_controller.ps1,1318,ad22729eb492c3197556fef1b2365cff077add67f3f9c9e2666fe75507631341,ad22729eb492c3197556fef1b2365cff077add67f3f9c9e2666fe75507631341,1
C6_preparation_clone_driver,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\src\run_step04CC6_isolated_processes.ps1,17153,278aa5f7e3e4ea80520ca2553255eac8ad2fa21907a05201ca3cec9bb31e4fde,278aa5f7e3e4ea80520ca2553255eac8ad2fa21907a05201ca3cec9bb31e4fde,1
