check_id,description,passed,observed,expected
AUDIT-01,35 states each contain 15000 main records,1,1,1
AUDIT-02,all state seed and N combinations completed,1,630,630
AUDIT-03,35 x 15000 x 3 formal joint scenarios completed,1,1575000,1575000
AUDIT-04,nested prefix relationship holds,1,0,0
AUDIT-05,record weights equal 1/N and sum to one,1,4.48530101948563e-14,0
AUDIT-06,formal B3 default is stagewise_random_triangular,1,stagewise_random_triangular,stagewise_random_triangular
AUDIT-07,fixed_representative remains available,1,1,1
AUDIT-08,W1 W2 and W3 use independent wind quantiles,1,0,0
AUDIT-09,sampled wind remains inside every grade interval,1,0,0
AUDIT-10,a6 sampled wind never exceeds 60 m/s,1,0,0
AUDIT-11,wind and resistance seeds are separate,1,0,0
AUDIT-12,wind random streams reproduce exactly,1,0,0
AUDIT-13,no external candidates or unobserved candidate records added,1,0 | 0,0 | 0
AUDIT-14,natural observed-candidate records retain main-sample identity,1,268,>0 and not separately appended
AUDIT-15,D A and reachable C domains valid,1,1,1
AUDIT-16,same-seed N500 replay is identical for all 105 blocks,1,0,0
AUDIT-17,N15000 reference errors equal zero,1,0,0
AUDIT-18,fixed and random N15000 comparison is complete,1,1365,1365
AUDIT-19,source inputs and formal wind config unchanged during run,1,1,1
AUDIT-20,accepted old run directories unchanged,1,1,1
AUDIT-21,no B3 stability threshold was fabricated,1,1,1
AUDIT-22,persistent fixed resistance mode used,1,persistent_fixed_resistance,persistent_fixed_resistance
AUDIT-23,no WDRO Gurobi optimization or MSP calls,1,0,0
AUDIT-24,main sample SHA-256 unchanged,1,972a8c58620c09ac19cfcfb29e8d6a3ed2819ef1a22dbd522043436418eb805d,972a8c58620c09ac19cfcfb29e8d6a3ed2819ef1a22dbd522043436418eb805d
